timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
7/31/2019 9:00,USD,CHF,0.99069,0.99097,0.99029,0.99045,3824.719982,P,P,P,P
7/31/2019 10:00,USD,CHF,0.99045,0.99068,0.98983,0.98985,3546.579982,P,P,P,P
7/31/2019 11:00,USD,CHF,0.98984,0.99064,0.9898,0.99026,3143.459993,P,P,P,P
7/31/2019 12:00,USD,CHF,0.99026,0.9904,0.98928,0.9893,5834.38998,P,P,P,P
7/31/2019 13:00,USD,CHF,0.98929,0.99126,0.98926,0.99057,8527.739952,P,P,P,P
7/31/2019 14:00,USD,CHF,0.99059,0.99106,0.98952,0.98975,10859.25995,P,P,P,P
7/31/2019 15:00,USD,CHF,0.98976,0.99058,0.98958,0.99028,9039.889964,P,P,P,P
7/31/2019 16:00,USD,CHF,0.99028,0.99075,0.98968,0.98989,4963.719979,P,P,P,P
7/31/2019 17:00,USD,CHF,0.98988,0.99001,0.98848,0.98855,5727.019955,P,P,P,P
7/31/2019 18:00,USD,CHF,0.98859,0.99488,0.98838,0.99331,28889.99994,P,P,P,P
7/31/2019 19:00,USD,CHF,0.99333,0.9949,0.99187,0.99423,17042.06994,P,P,P,P
7/31/2019 20:00,USD,CHF,0.99423,0.99485,0.99337,0.99388,2402.989988,P,P,P,P
7/31/2019 21:00,USD,CHF,0.99386,0.99415,0.99329,0.99384,1558.799999,P,P,P,P
7/31/2019 22:00,USD,CHF,0.99384,0.99397,0.99322,0.99334,875.5799982,P,P,P,P
7/31/2019 23:00,USD,CHF,0.99335,0.99426,0.99335,0.9941,1592.789988,P,P,P,P
8/1/2019 0:00,USD,CHF,0.9941,0.99752,0.99407,0.99688,6342.979967,P,P,P,P
8/1/2019 1:00,USD,CHF,0.99688,0.99704,0.99645,0.99657,6168.109986,P,P,P,P
8/1/2019 2:00,USD,CHF,0.99657,0.99694,0.99643,0.99649,3298.579986,P,P,P,P
8/1/2019 3:00,USD,CHF,0.99649,0.9969,0.99649,0.99683,2002.789996,P,P,P,P
8/1/2019 4:00,USD,CHF,0.99684,0.99692,0.99598,0.99602,1440.839994,P,P,P,P
8/1/2019 5:00,USD,CHF,0.99605,0.99671,0.99577,0.99642,3183.519991,P,P,P,P
8/1/2019 6:00,USD,CHF,0.99643,0.99736,0.99603,0.99648,5763.469969,P,P,P,P
8/1/2019 7:00,USD,CHF,0.99646,0.99706,0.99583,0.99665,6645.799984,P,P,P,P
8/1/2019 8:00,USD,CHF,0.99666,0.99672,0.99484,0.99493,4772.489991,P,P,P,P
8/1/2019 9:00,USD,CHF,0.99493,0.99531,0.99452,0.99492,4978.569988,P,P,P,P
8/1/2019 10:00,USD,CHF,0.99495,0.99581,0.99489,0.99569,5227.249996,P,P,P,P
8/1/2019 11:00,USD,CHF,0.99569,0.99606,0.99467,0.9953,6892.189974,P,P,P,P
8/1/2019 12:00,USD,CHF,0.9953,0.99641,0.99511,0.99608,8270.699971,P,P,P,P
8/1/2019 13:00,USD,CHF,0.99607,0.99619,0.99458,0.99498,11688.08995,P,P,P,P
8/1/2019 14:00,USD,CHF,0.99491,0.99491,0.99398,0.99433,16603.37995,P,P,P,P
8/1/2019 15:00,USD,CHF,0.99435,0.99447,0.99336,0.99381,9636.319935,P,P,P,P
8/1/2019 16:00,USD,CHF,0.99382,0.99388,0.99235,0.99246,4903.909965,P,P,P,P
8/1/2019 17:00,USD,CHF,0.99245,0.99341,0.98902,0.99002,18305.36993,P,P,P,P
8/1/2019 18:00,USD,CHF,0.99004,0.9914,0.98943,0.98983,18684.30993,P,P,P,P
8/1/2019 19:00,USD,CHF,0.98986,0.99059,0.98873,0.98943,12747.84994,P,P,P,P
8/1/2019 20:00,USD,CHF,0.98941,0.99089,0.98941,0.99027,4010.879982,P,P,P,P
8/1/2019 21:00,USD,CHF,0.99022,0.99049,0.98947,0.99011,2168.699998,P,P,P,P
8/1/2019 22:00,USD,CHF,0.99006,0.99073,0.9899,0.99051,757.6699991,P,P,P,P
